A
Chirurgenstahl,Chirurgiestahl
Christen,Menschen christlichen Glaubens
Chorleiter,Chorleitung
Chorleiter,Chorleitende; Chorleitungen
Clown,
Coach,Begleitung; Beratung; coachende Person
Coder,codende Person
Cousins,Geschwister 2. Grades
Cyber-Erpresser,Cyber-Erpressung
... Gewappnet sein gegen Cyper-Erpresser,... Gewappnet sein gegen Cyper-Erpressung
D
Dahergelaufener (bayrisch),
Damenfahrrad,Trapezrahmenfahrrad; Fahrrad mit tiefem Einstieg
damenhaft,fein
Damenprogramm,Begleitprogramm
Darsteller,darstellende Person
... Kinderdarsteller,... darstellende Person im Kindesalter; ... schauspielendes/darstellendes Kind
Darsteller,Rollen; Besetzung; Darstellende
... Kinderdarsteller,... Darstellende kindlichen Alters
Datenschutzbeauftragter,Fachperson für Datenschutz; Datenschutzverantwortlichkeit
Dekan,Leitung des Dekanats; Dekanat
Delegierter,delegierte Person
Demokraten,Demokratiebegeisterte; Demokratieüberzeugte
Demonstranten,Demonstrierende
derjenige, der... ,diejenige Person, die ... ; die Person, die ...
Designer,Designschaffende
Detektiv,
Deutscher,Person aus Deutschland; deutsche Person; Person mit deutscher Staatsangehörigkeit
Developer,Developing Person; Developing Employee
Dezernent,Dezernat leitende Person
Diabetiker,Mensch mit Diabetes; Diabetes erkrankte Person
Dichter,dichtende Person; poetische Person
... Land der Dichter und Denker,... Land der Literatur; Land der Gedichte und Gedanken; Land der Dichtung und des Denkens; Land der dichtenden und denkenden Personen; Land der Dichtenden und Denkenden
Dieb,Eigentum entwendende Person; Langfinger
Diebe,Kriminelle; Langfinger
Dienstherr,Dienstaufsichtsperson; Dienstbehörde
Dienstherrengenehmigung,Vorgesetztengenehmigung ; Genehmigung der vorgesetzten Führungskraft; Dienststellengenehmigung; behördliche Genehmigung
Dienstleister,dienstleistende Person; dienstleistendes Unternehmen; Dienstleistungsunternehmen
Dienstleister,Dienstleistende
Diplomand,
Diplomingenieur,diplomierte technische Fachkraft
... Anteil von Wissenschaftlern und Ingenieuren an der Gesamtarbeitskraft nach
Geschlecht, 2013,... Anteil von Forschenden und diplomierten technischen Fachkräften an der Gesamtarbeitskraft nach Geschlecht, 2013
Direktor,Leitung [z.B. Schulleitung; Institutsleitung; Museumsleitung]
Dirigent,unter dem Dirigat von ...; unter Leitung von ...
Dispatcher,
Disponent,Disposition
DJ,der/die DJ
Doktoranden,Promovierende
Doktorandenkolleg,Promotionskolleg; Promovierendenkolleg
Doktorarbeit,Promotion
Doktorvater/-mutter,Promotionsbetreuung; Vorsitz des Promotionskomitees
... Wer ist Ihr Doktorvater?,... Wer betreut Ihre Promotion? / ... Wer hat die Betreuung Ihrer Promotion inne?
Dokumenteninhaber,im Besitz von Dokumenten
Dolmetscher,(simultan / konsekutiv) dolmetschende Fachkraft
Dönermann,Dönerimbiss; Dönerverkauf; Kebapverkauf; Dönerfachgeschäft; Dönerbude
... Lass uns in der Mittagspause zum Dönermann gehen!,... Lass uns in der Mittagspause zum Dönerimbiss gehen.
Doppelgänger,Double; Ebenbild; Doppelperson
Dozent,lehrende Person; Lehrkraft; Lehrperson; vortragende Person; Seminarleitung
Dozenten,Dozierende; Lehrpersonal; Lehrende
Dozententätigkeit,Lehrtätigkeit
Drachenlord,herrschende Drachenperson
Dritter,dritte Person
... Gibt es einen Konflikt zwischen zwei WG-Bewohnern, kann die Unterstützung durch einen Dritten hilfreich sein.,... Gibt es einen Konflikt zwischen zwein in der WG, kann die Unterstützung einer dritten Person hilfreich sein.
... jeder Dritte,... ein Drittel
Drittanbieter,
E
